,people_ID,LR,DTR,RFS,GBR,ADB
0,5942,51.98797218964095,59.70205576,53.19760561113332,51.96316760340715,54.182485161162795
1,18664,51.53065209670972,48.42727082,50.98764808240001,52.09196323363338,54.182485161162795
2,5603,50.083951775506804,52.1417503,51.567349902499984,50.9344967549912,51.92711591160539
3,5649,51.46905238866192,54.88432406,52.26168862689999,51.115015957347204,52.205958979010504
4,5099,51.59854048417696,60.77523616,52.43835433360001,51.5101929597326,54.182485161162795
5,18749,50.95332365226886,47.8828922,53.01405844269999,51.55641728604505,51.92711591160539
6,5228,50.99092506036146,51.16865351,52.37284391299997,52.04016680943497,52.205958979010504
7,5559,52.55494747448793,53.43403358,51.585366397399994,50.745936259610936,54.182485161162795
8,5220,50.74345736375782,54.03461628,51.77405461610001,52.192315501788215,54.182485161162795
9,5476,51.51897000936158,54.31737364,52.36033984190001,52.182691272014864,51.92711591160539
10,5260,50.14737047341227,46.29710841,50.34179084189999,50.12828629058016,51.92711591160539
11,17638,51.92450964087273,54.35557676,54.0364172056,52.89114956756912,54.182485161162795
12,18635,50.903499676378665,52.80297674,52.35285492929998,50.86489794116058,52.12269958679716
13,18794,63.34832177783765,55.65024,63.081205918000016,61.43202305552158,62.01174457495705
14,5263,50.660064377298575,47.71117862,52.95280304729999,50.86395061507619,51.92711591160539
15,17680,63.861251516915104,63.4608,64.77047527409998,64.42091534909136,62.01174457495705
16,18030,51.0032061216516,46.87245924,52.54277173820001,51.94326722772199,54.182485161162795
17,18090,51.30645996679672,53.93689651,51.69125648124999,50.969507355803486,52.205958979010504
18,18455,50.506986503418325,59.93078922,52.44841223250001,49.48824431972728,51.92711591160539
19,18155,50.356920357727326,52.64313878,52.5780420201,51.248984976045165,53.80702107685446
20,18116,63.743183247546675,32.21856,59.56880481249999,60.692280374114134,62.01174457495705
21,18144,51.45334011321887,53.69328542,51.880170085100005,51.25767640354876,52.12269958679716
22,5218,63.76308058628915,50.76864,60.397444047,63.481450787608956,62.01174457495705
23,5386,51.669530435294696,50.19572272,51.49967992419998,51.61250250727952,52.12269958679716
24,18105,62.90041928402225,37.10016,55.97076939049999,51.77262562958521,62.01174457495705
25,5735,50.840326290783935,59.41988712,52.96108430379997,51.55824335014952,51.92711591160539
26,5900,50.7407963425738,46.62128334,49.87357925229996,51.773186198819005,54.182485161162795
27,18391,50.72059600962823,60.3112277,53.831647863399986,49.42783410814534,51.92711591160539
28,5786,50.56644245343109,52.91827728,54.159760260499986,50.18966844886124,51.92711591160539
29,18639,50.96345537153243,48.49881841,51.50399648659999,51.39270573199661,54.182485161162795
30,17984,52.12468111571425,60.31907676,52.85061348450001,51.67914078441377,51.92711591160539
31,18274,50.35534894040397,53.85816293,53.144764339099986,50.615056151179914,51.92711591160539
32,5425,51.78107206080377,54.38036197,52.742922226699996,51.41962204180477,54.182485161162795
33,6076,52.083599781670394,47.58996443,52.823964115599956,50.98620796204072,51.92711591160539
34,18545,51.09973628818584,46.33661094,52.91118191260001,52.34023561154585,54.182485161162795
35,17697,63.98754597676758,48.81932535,60.22792435059998,60.06790230685797,66.09676332534775
